選手名,出場数,得点数,初出場,最終出場,ポジション
森山佳郎,7,0,1994/7/8,1994/10/11,"MF, DF"
山口敏弘,4,0,1994/7/8,1995/1/8,MF
本並健治,3,0,1994/5/29,1994/7/14,GK
遠藤昌浩,8,0,1994/5/29,1994/10/11,"FW, DF"
名塚善寛,11,1,1994/5/22,1995/1/8,DF
岩本輝雄,9,2,1994/5/22,1994/10/11,"MF, DF"
今藤幸治,2,0,1994/5/22,1994/5/29,"MF, DF"
前園真聖,19,4,1994/5/22,1997/3/15,MF
小倉隆史,5,1,1994/5/22,1994/10/9,FW
佐藤慶明,1,0,1994/5/22,1994/5/22,FW
三浦泰年,3,0,1993/10/4,1993/10/18,"MF, DF"
澤登正朗,16,3,1993/4/8,2000/2/20,MF
前川和也,17,0,1992/6/7,1996/10/13,GK
森保一,35,1,1992/5/31,1996/2/19,"MF, DF"
高木琢也,44,27,1992/5/31,1997/11/8,FW
浅野哲也,8,1,1991/6/2,1994/7/14,"MF, DF"
北澤豪,58,3,1991/6/2,1999/6/6,MF
ラモス瑠偉,32,1,1990/9/26,1995/8/9,MF
三浦知良,89,55,1990/9/26,2000/6/6,FW
中山雅史,53,21,1990/7/31,2003/6/8,FW
菊原志郎,5,0,1990/7/29,1990/10/1,MF
阪倉裕二,6,0,1990/7/27,1991/7/27,DF
反町康治,4,0,1990/7/27,1991/7/27,FW
谷真一郎,1,0,1990/7/27,1990/7/27,FW
永島昭浩,4,0,1990/7/27,1991/7/27,FW
福田正博,45,9,1990/7/27,1995/10/28,"FW, MF"
大榎克己,5,0,1989/5/5,1990/7/29,"FW, MF, DF"
黒崎比差支,24,4,1989/5/5,1997/2/13,FW
長谷川健太,27,4,1989/1/20,1995/2/26,FW
松永成立,40,0,1988/10/26,1995/2/26,GK
名取篤,6,0,1988/10/26,1989/7/23,MF
梶野智幸,9,1,1988/6/2,1989/6/25,DF
佐々木雅尚,20,0,1988/6/2,1991/6/2,"FW, MF, DF"
森正明,8,0,1988/6/2,1989/6/4,"FW, MF"
吉田光範,35,2,1988/6/2,1993/10/28,"FW, MF"
菅野裕二,1,0,1988/2/2,1988/2/2,MF
井原正巳,122,5,1988/1/27,1999/7/5,DF
佐野達,9,0,1988/1/27,1990/9/28,DF
柱谷哲二,72,6,1988/1/27,1995/10/28,DF
草木克洋,2,0,1988/1/27,1988/10/26,"FW, MF"
藤代伸世,2,0,1988/1/27,1988/1/30,FW
前田治,14,6,1988/1/27,1989/6/18,FW
望月聡,7,0,1988/1/27,1989/7/23,"FW, MF"
中本邦治,5,0,1987/9/2,1987/10/26,DF
信藤克義,15,1,1987/5/27,1990/10/1,DF
浅岡朝泰,8,0,1987/4/12,1989/5/5,"FW, MF, DF"
松山吉之,10,4,1987/4/8,1989/7/23,MF
武田修宏,18,1,1987/4/8,1994/10/3,FW
倉田安治,6,0,1986/9/20,1987/9/26,DF
堀池巧,58,2,1986/8/1,1995/1/8,DF
金子久,7,1,1986/7/25,1987/9/18,DF
越後和男,6,1,1986/7/25,1987/9/18,MF
与那城ジョージ,2,0,1985/10/26,1985/11/3,"FW, MF"
勝矢寿延,27,0,1985/9/22,1993/10/28,DF
森下申一,28,0,1985/6/4,1991/6/2,GK
池田司信,1,0,1985/6/4,1985/6/4,DF
内山勝,1,0,1985/5/26,1985/5/26,"MF, DF"
平川弘,13,0,1985/3/21,1992/6/7,"FW, MF, DF"
石神良訓,12,0,1984/9/30,1986/9/24,DF
内山篤,2,0,1984/9/30,1985/2/23,MF
宮内聡,20,0,1984/9/30,1987/9/18,MF
谷中治,3,0,1984/9/30,1986/8/1,FW
松井清隆,15,0,1984/5/31,1988/6/2,GK
水沼貴史,32,7,1984/4/18,1989/7/23,MF
松木安太郎,11,0,1984/4/15,1986/9/28,DF
池内豊,8,0,1983/2/12,1985/8/11,DF
吉川亨,1,0,1983/2/12,1983/2/12,MF
田中孝司,20,3,1982/7/15,1984/5/31,"MF, DF"
沖宗敏彦,2,0,1981/8/30,1981/9/3,DF
加藤正明,3,1,1981/8/30,1981/9/8,FW
伊藤直司,1,0,1981/6/19,1981/6/19,MF
野村貢,12,0,1981/6/2,1982/7/18,DF
松浦敏夫,22,6,1981/6/2,1987/9/26,FW
坪田和美,7,0,1981/3/8,1984/4/26,GK
山口悟,1,0,1981/2/19,1981/2/19,GK
川勝良一,13,0,1981/2/8,1982/7/18,MF
尾崎加寿夫,17,3,1981/2/8,1983/3/6,FW
柱谷幸一,29,3,1981/2/8,1986/9/28,"FW, MF"
吉田弘,9,1,1981/2/8,1983/2/25,FW
坂下博之,1,0,1980/12/28,1980/12/28,"MF, DF"
山本昌邦,4,0,1980/12/26,1981/2/19,DF
鈴木康仁,4,0,1980/12/22,1980/12/30,GK
越田剛史,19,0,1980/12/22,1985/11/3,DF
都並敏史,78,2,1980/12/22,1995/2/21,DF
風間八宏,19,0,1980/12/22,1983/9/25,MF
戸塚哲也,18,3,1980/12/22,1985/11/3,MF
西村昭宏,49,2,1980/6/18,1988/1/30,"MF, DF"
山野孝義,2,0,1980/6/11,1980/6/18,DF
手塚聡,25,2,1980/6/11,1988/2/2,"FW, MF"
加藤好男,8,0,1980/6/9,1981/2/24,GK
岡田武史,24,1,1980/6/9,1985/8/11,DF
副島博志,3,0,1980/6/9,1980/6/18,MF
田中真二,17,0,1980/3/30,1985/6/4,DF
高原郁夫,4,2,1980/3/22,1980/4/2,FW
保田道夫,1,0,1979/8/23,1979/8/23,GK
